,hotel_name,review_text,review_type,polarity,word_count,sentence_count,avgwordsper_sentence,cleaned_text,sentiment_polarity,sentiment_subjectivity,emotion,pos_counts,entities,pronouns,action_verbs
0,monaco,"I want to recognize so many people who were exemplary in their service. 1) Sylvia Rollins, Head Concierge. I wanted a fairly last minute reservation at MK restaurant. I spoke with Sylvia on the phone just a few days prior to arrival and within 15 minutes had the desired reservation. 2) Ryan Lettier, Concierge, provided us detailed information on the architectural cruises. Our morning cruise ended up being cancelled by the tour operator and Ryan provided a late check out time to cover us until we could get back to the Monaco. 3) Turndown service was provided as requested and housekeeping in general seemed to be at a high standard 4) Even the bellman went out of their way to ask if we knew how to get the train etc when leaving the hotel. The rooms are tastfully furnished in that whimiscal Hotel Monaco feel. Beds and bedding both very comfortable. The complimentary happy hour and morning coffee/tea service were both very utililzed by the hotel guests.",truthful,positive,962,10,96.2,want recognize many people exemplary service 1 sylvia rollins head concierge wanted fairly last minute reservation mk restaurant spoke sylvia phone days prior arrival within 15 minutes desired reservation 2 ryan lettier concierge provided us detailed information architectural cruises morning cruise ended cancelled tour operator ryan provided late check time cover us could get back monaco 3 turndown service provided requested housekeeping general seemed high standard 4 even bellman went way ask knew get train etc leaving hotel rooms tastfully furnished whimiscal hotel monaco feel beds bedding comfortable complimentary happy hour morning coffee/tea service utililzed hotel guests,0.19250000000000003,0.4380555555555556,Trust,"Counter({'NOUN': 39, 'VERB': 24, 'ADJ': 14, 'PROPN': 6, 'NUM': 5, 'ADV': 4, 'PRON': 2, 'AUX': 2, 'ADP': 1, 'X': 1, 'SYM': 1})","[('1', 'CARDINAL'), ('last minute', 'TIME'), ('days', 'DATE'), ('15 minutes', 'TIME'), ('2', 'CARDINAL'), ('morning', 'TIME'), ('3', 'CARDINAL'), ('4', 'CARDINAL'), ('monaco', 'ORG'), ('hour morning', 'TIME')]","['us', 'us']","['want', 'recognize', 'rollins', 'wanted', 'spoke', 'desired', 'provided', 'ended', 'cancelled', 'provided', 'cover', 'get', 'provided', 'requested', 'seemed', 'went', 'ask', 'knew', 'train', 'leaving', 'furnished', 'feel', 'bedding', 'utililzed']"
1,monaco,"This was my first time in Chicago and wanted a hotel that was in a good location. This definitely fit the bill. I could walk to all the places I wanted to see - very close to Michigan Ave and the Magnificent Mile. About a 15 minute walk to the Art Institute. The hotel staff was very friendly and went out of their way to be helpful. There was coffee in the lobby every morning, that was very welcome. The room was comfortable and clean and fairly quiet. I could hear the train and some traffic from the street (considering the location, this wasn't bad and didn't affect my ability to sleep or relax). I would definitely recommend this hotel - a gem!!",truthful,positive,652,10,65.2,first time chicago wanted hotel good location definitely fit bill could walk places wanted see close michigan ave magnificent mile 15 minute walk art institute hotel staff friendly went way helpful coffee lobby every morning welcome room comfortable clean fairly quiet could hear train traffic street considering location n't bad n't affect ability sleep relax would definitely recommend hotel gem,0.3265151515151516,0.6121212121212122,Trust,"Counter({'NOUN': 23, 'VERB': 11, 'ADJ': 10, 'PROPN': 5, 'ADV': 4, 'AUX': 3, 'PART': 2, 'NUM': 1, 'DET': 1})","[('first', 'ORDINAL'), ('chicago', 'GPE'), ('michigan', 'GPE'), ('15 minute', 'TIME')]",[],"['wanted', 'walk', 'wanted', 'see', 'ave', 'went', 'hear', 'considering', 'affect', 'relax', 'recommend']"
2,sofitel,"our stay was absolutely perfect. its a cool hotel to look at, the design and feel is very trendy and hip. all the staff are terrific, especially the consierge staff-great info and attitude. our room was on the top floor, with great views. super comfy bed, and neat bathroom. fantastic, choose this with no hesitation!",truthful,positive,317,6,52.833333333333336,stay absolutely perfect cool hotel look design feel trendy hip staff terrific especially consierge staff-great info attitude room top floor great views super comfy bed neat bathroom fantastic choose hesitation,0.4425925925925926,0.8185185185185185,Trust,"Counter({'NOUN': 16, 'ADJ': 10, 'VERB': 3, 'ADV': 2, 'PUNCT': 1})",[],[],"['stay', 'feel', 'choose']"
3,sofitel,Excellent service! Clean and spacious rooms with a great view of downtown Chicago. Location is excellent for exploring the main sights and the Golden Mile. Great concierge service. Pricey though... Don't valet if you don't need to.,truthful,positive,231,5,46.2,excellent service clean spacious rooms great view downtown chicago location excellent exploring main sights golden mile great concierge service pricey though ... n't valet n't need,0.6333333333333334,0.719047619047619,Joy,"Counter({'NOUN': 9, 'ADJ': 8, 'ADV': 2, 'VERB': 2, 'PART': 2, 'PROPN': 1, 'PUNCT': 1, 'AUX': 1})","[('chicago', 'GPE')]",[],"['exploring', 'need']"
4,monaco,"I can only confirm the positve reviews previously mentioned. We stayed in room 1112, King with River View. No noise and very comfortable.The price was a bargain at $191 a night. I would stay here again. The ""L"" from Midway Airport lets you off about two blocks from the Hotel. It's a $2 ride - no need for a $40 taxi ride.",truthful,positive,322,6,53.666666666666664,confirm positve reviews previously mentioned stayed room 1112 king river view noise comfortable.the price bargain 191 night would stay `` l '' midway airport lets two blocks hotel 's 2 ride need 40 taxi ride,-0.16666666666666666,0.16666666666666666,Fear,"Counter({'NOUN': 13, 'VERB': 6, 'NUM': 5, 'PROPN': 4, 'PUNCT': 3, 'ADJ': 1, 'ADV': 1, 'DET': 1, 'AUX': 1, 'PART': 1})","[('1112', 'CARDINAL'), ('191 night', 'TIME'), ('midway airport', 'FAC'), ('two', 'CARDINAL'), ('2', 'CARDINAL'), ('40', 'CARDINAL')]",[],"['confirm', 'mentioned', 'stayed', 'stay', 'lets', 'need']"
5,hilton,"We booked our stay through Priceline.com and got a great deal. We were only staying one night and we had our 2 year old with us. At check-in, we were upgraded to a suite with a lake view of Lake Michigan. It was beautiful. The suite had a king bed with a living room and a bar and mini-fridge which we didn't need, but if we were staying longer, it would have been a godsend. This hotel is in close proximity with Grant Park which has the beautiful Buckingham Fountain. We walked around the park and even saw a movie being filmed....but if you are looking for a hotel with a lot of restaurants around it, this isn't the one. We ended up eating at the Irish Pub inside the hotel (Kitty O'Shea's) which has great food. (We have stayed here before and always end up eating here.) There are a lot of attractions within a mile including the Field Museum, Shedd Aquarium, Soldier Field, and Navy Pier. They may not be walking distance but we could see them from our hotel window. Overall, we had another wonderful stay at the Chicago Hilton. (Our 4th stay) The only downside is the expensive parking within the hotel.....41 dollars a night is kind of ridiculous.",truthful,positive,1156,13,88.92307692307692,booked stay priceline.com got great deal staying one night 2 year old us check-in upgraded suite lake view lake michigan beautiful suite king bed living room bar mini-fridge n't need staying longer would godsend hotel close proximity grant park beautiful buckingham fountain walked around park even saw movie filmed .... looking hotel lot restaurants around n't one ended eating irish pub inside hotel kitty o'shea 's great food stayed always end eating lot attractions within mile including field museum shedd aquarium soldier field navy pier may walking distance could see hotel window overall another wonderful stay chicago hilton 4th stay downside expensive parking within hotel ..... 41 dollars night kind ridiculous,0.37878787878787884,0.6636363636363637,Trust,"Counter({'NOUN': 40, 'VERB': 20, 'PROPN': 17, 'ADJ': 11, 'ADV': 7, 'ADP': 5, 'NUM': 4, 'PUNCT': 3, 'PART': 3, 'AUX': 3, 'X': 1, 'DET': 1})","[('one', 'CARDINAL'), ('2 year old', 'DATE'), ('michigan', 'GPE'), ('irish', 'NORP'), (""kitty o'shea 's"", 'PERSON'), ('mile', 'TIME'), ('chicago', 'GPE'), ('4th', 'ORDINAL'), ('41 dollars', 'MONEY')]",[],"['booked', 'got', 'staying', 'upgraded', 'need', 'staying', 'godsend', 'walked', 'saw', 'filmed', 'looking', 'ended', 'eating', 'stayed', 'end', 'eating', 'including', 'walking', 'see', 'stay']"
6,hilton,"My stay was quick but awesome. After a long day, seeing a substantial line at check-in was a bit of a groaner, but then i saw the self-serve kiosks. i was checked in with keys in hand in under 3 minutes. in the morning i was able to check out on the TV in my room. the hotel is a beautiful historic landmark with all the amenities of a modern hotel and all the charm of its 1927 origins. The bed was FABULOUSLY comfortable. i wish i could live there. they have many rooms wtih 2 bathrooms. i stayed in a room like that once with a friend and we didn't know ahead of time that we had two bathrooms. talk about squeals of delight. that was about 7 years ago in virginia beach. i was by myself at the hilton and had no need for a room with two bathrooms, but it's the first time i've seen this since. what a great feature!",truthful,positive,819,13,63.0,stay quick awesome long day seeing substantial line check-in bit groaner saw self-serve kiosks checked keys hand 3 minutes morning able check tv room hotel beautiful historic landmark amenities modern hotel charm 1927 origins bed fabulously comfortable wish could live many rooms wtih 2 bathrooms stayed room like friend n't know ahead time two bathrooms talk squeals delight 7 years ago virginia beach hilton need room two bathrooms 's first time 've seen since great feature,0.40997474747474744,0.5590277777777778,Trust,"Counter({'NOUN': 33, 'ADJ': 14, 'VERB': 11, 'NUM': 6, 'PROPN': 5, 'AUX': 3, 'PUNCT': 2, 'ADP': 2, 'ADV': 2, 'PART': 2, 'SCONJ': 1})","[('3 minutes morning', 'TIME'), ('1927', 'DATE'), ('2', 'CARDINAL'), ('two', 'CARDINAL'), ('7 years ago', 'DATE'), ('virginia beach', 'GPE'), ('two', 'CARDINAL'), ('first', 'ORDINAL')]",[],"['stay', 'seeing', 'saw', 'checked', 'hand', 'live', 'stayed', 'know', 'delight', 'need', 'seen']"
7,james,"The thing that makes this such an enjoyable place to stay is the staff who were all excellent and polite and the service was impeccable. The room was very clean, the beds were comfortable but it was a little small and the water in the bathroom was not very hot. Other than that it was a great place to stay.",truthful,positive,307,3,102.33333333333333,thing makes enjoyable place stay staff excellent polite service impeccable room clean beds comfortable little small water bathroom hot great place stay,0.40324074074074073,0.7055555555555557,Trust,"Counter({'ADJ': 10, 'NOUN': 9, 'VERB': 3})",[],[],"['makes', 'stay', 'stay']"
8,sofitel,"Mostly great with a few islands of relatively minor problems. First the good: Outside of the hotel and lobby were decorated like a winter wonderland, as befitted the season. The restaurant service was absolutely flawless ( servers who don't write orders because they are expected to remember them, remember clients clearly from one day to the other, and go above and beyond consistently). Rooms are comfortable: yes the beds are great! The gym is well equipped. Second the slightly off putting: mmmhh...we got the ""I love chocolate package"" which advertized: bfast every day, dinner once, snack once and...a gift. And we have an A-Club favorite guest membership, which also advertized "" a gift"". So, no gift...either for the chocolate package or the favorite guest membership. Upon enquiry, ""the snack was the gift"". Not at all what the package suggested. That said, bfast was sublime and the chocolate dinner outstanding as well. Some problems at checkout though: we got charged for all dining despite having booked the package and it took quite a while for a polite but seemingly less than informed front desk staff to correct the problem. Would absolutely go back, but probably not on a special package.",truthful,positive,1206,13,92.76923076923077,mostly great islands relatively minor problems first good outside hotel lobby decorated like winter wonderland befitted season restaurant service absolutely flawless servers n't write orders expected remember remember clients clearly one day go beyond consistently rooms comfortable yes beds great gym well equipped second slightly putting mmmhh ... got `` love chocolate package '' advertized bfast every day dinner snack ... gift a-club favorite guest membership also advertized `` gift '' gift ... either chocolate package favorite guest membership upon enquiry `` snack gift '' package suggested said bfast sublime chocolate dinner outstanding well problems checkout though got charged dining despite booked package took quite polite seemingly less informed front desk staff correct problem would absolutely go back probably special package,0.3086904761904762,0.4898214285714285,Trust,"Counter({'NOUN': 45, 'VERB': 20, 'ADV': 17, 'ADJ': 16, 'PUNCT': 13, 'ADP': 3, 'INTJ': 2, 'DET': 2, 'SCONJ': 2, 'AUX': 2, 'PART': 1, 'NUM': 1, 'CCONJ': 1, 'PROPN': 1})","[('first', 'ORDINAL'), ('winter', 'DATE'), ('second', 'ORDINAL')]",[],"['decorated', 'befitted', 'write', 'expected', 'remember', 'remember', 'go', 'beds', 'equipped', 'putting', 'got', 'love', 'advertized', 'advertized', 'suggested', 'said', 'charged', 'booked', 'took', 'go']"
9,hilton,"My family and I have just had a two week holiday in Chicago, and we stayed for a week at the Hilton Towers. We had a fantastic time and enjoyed every minute of our stay at this incredible hotel. The sheer size of the place is breathtaking and the atmosphere is very friendly and hospitable. If you prefer discreet modern boutiquey-type hotels, maybe this wouldn't be your thing. However if you enjoy old style glamour and glitz, you will be bowled over by this hotel. The place literally sparkles thanks to the enormous chandeliers that are everywhere in the lobby. Tons of celebs have stayed here over the decades and the history of the hotel and past guests etc is fascinating. We got a very reasonable rate for our stay and could not fault anything about this very special place!",truthful,positive,782,8,97.75,family two week holiday chicago stayed week hilton towers fantastic time enjoyed every minute stay incredible hotel sheer size place breathtaking atmosphere friendly hospitable prefer discreet modern boutiquey-type hotels maybe would n't thing however enjoy old style glamour glitz bowled hotel place literally sparkles thanks enormous chandeliers everywhere lobby tons celebs stayed decades history hotel past guests etc fascinating got reasonable rate stay could fault anything special place,0.33880952380952384,0.6080952380952381,Trust,"Counter({'NOUN': 32, 'VERB': 12, 'ADJ': 11, 'ADV': 4, 'PROPN': 2, 'AUX': 2, 'NUM': 1, 'DET': 1, 'PUNCT': 1, 'PART': 1, 'ADP': 1, 'X': 1, 'PRON': 1})","[('two week', 'DATE'), ('chicago', 'GPE'), ('every minute', 'TIME'), ('decades', 'DATE')]",['anything'],"['stayed', 'enjoyed', 'stay', 'breathtaking', 'prefer', 'thing', 'enjoy', 'bowled', 'sparkles', 'stayed', 'got', 'fault']"
